coin,chain,chainType,addressDeposit,tagDeposit,batchReleaseLimit,deposit_contractAddress_last6,coininfo_contractAddress_full,chainDeposit,chainWithdraw,confirmation,safeConfirmNumber,depositMin,withdrawMin,minAccuracy,withdrawFee,withdrawPercentageFee
SHIB,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,64c4ce,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,1,1,6,64,0.1,200000,8,200000,0
SIGN,BSC,BSC (BEP20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,87A4c3,0x868FCEd65edBF0056c4163515dD840e9f287A4c3,1,0,60,60,0.1,20,8,10,0
SIGN,BASE,Base Mainnet,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,87A4c3,0x868FCEd65edBF0056c4163515dD840e9f287A4c3,1,1,30,1800,0.1,20,8,10,0
SIGN,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,87A4c3,0x868FCEd65edBF0056c4163515dD840e9f287A4c3,1,0,6,64,0.1,40,8,40,0
SIS,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,c76dd9,0xd38bb40815d2b0c2d2c866e0c72c5728ffc76dd9,1,1,6,64,0.01,17.5,8,8.75,0
SKATE,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,cEf285,0x61DBbBb552dc893ab3aAd09F289f811E67cEf285,1,1,6,64,0.1,20,8,10,0
SKR,SOL,SOL,H9J4iqxRZZeDAzux33GdZqk3frX5tcGCZdGoU5tVLCzx,,-1,PGZhW3,SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3,1,1,200,200,0,40,6,20,0
SKY,ETH,Ethereum (ERC20) ,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,Ed9279,0x56072C95FAA701256059aa122697B133aDEd9279,1,1,6,64,0.01,100,8,50,0
SLP,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,caaa25,0xcc8fa225d80b9c7d42f96e9570156c65d6caaa25,1,1,6,64,1,1200,0,1200,0
SNX,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,af2a6f,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,1,1,6,64,0.001,5,8,5,0
SOL,SOL,SOL,H9J4iqxRZZeDAzux33GdZqk3frX5tcGCZdGoU5tVLCzx,,-1,,,1,1,200,200,0.001,0.03,8,0.008,0
SOLO,XRP,XRP,rJn2zAPdFA193sixJwuFixRkYDUtx3apQh,501323098,-1,000000,534F4C4F00000000000000000000000000000000,1,1,1,1,0.01,0.6,8,0.3,0
SOLV,BSC,BSC,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,b9bc52,0xabE8E5CabE24Cb36df9540088fD7cE1175b9bc52,1,1,60,60,0.1,40,8,40,0
SOMI,BSC,BSC (BEP20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,0e266F,0xa9616e5e23EC1582c2828B025bEcf3Ef610e266F,1,1,60,60,0.01,0.04,8,0.02,0
SOMI,SOMNIA,SOMNIA,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,,,1,1,100,3000,0.01,0.04,8,0.02,0
SONIC,SOL,SOL,H9J4iqxRZZeDAzux33GdZqk3frX5tcGCZdGoU5tVLCzx,,-1,kBdDES,SonicxvLud67EceaEzCLRnMTBqzYUUYNr93DBkBdDES,1,1,200,200,0.01,2,8,5,0
SOSO,BASE,Base Mainnet,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,B98831,0x624e2e7fDc8903165F64891672267AB0FCB98831,1,1,30,1800,0.001,1,8,0.5,0
SOSO,ETH,ETH,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,FCea2D,0x76A0e27618462bDAC7a29104bdcfFf4E6BFCea2D,1,1,6,64,0.001,100,8,50,0
SPELL,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,37e5f6,0x090185f2135308bad17527004364ebcc2d37e5f6,1,1,6,64,0.1,3000,8,3000,0
SPK,BSC,BSC (BEP20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,Bb87D7,0xAfF2e841851700D1Fc101995Ee6b81Ae21Bb87D7,1,1,60,60,0.1,20,8,10,0
SPK,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,81b066,0xc20059e0317DE91738d13af027DfC4a50781b066,1,1,6,64,0.1,60,8,30,0
SPX,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,b2c56C,0xE0f63A424a4439cBE457D80E4f4b51aD25b2c56C,1,1,6,64,0.001,8,8,3,0
SQD,ARBI,Arbitrum One,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,6f8aB1,0x1337420dED5ADb9980CFc35f8f2B054ea86f8aB1,1,1,120,3360,0.01,10,8,10,0
SSV,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,917f54,0x9D65fF81a3c488d585bBfb0Bfe3c7707c7917f54,1,1,6,64,0.001,0.11,8,0.11,0
STABLE,STABLE,STABLE,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,001003,0x0000000000000000000000000000000000001003,1,1,5,10,0,60,8,30,0
STETH,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,d7fe84,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,1,1,6,64,0.000001,0.005,8,0.0027,0
STREAM,SOL,SOL,H9J4iqxRZZeDAzux33GdZqk3frX5tcGCZdGoU5tVLCzx,,-1,p1gu9M,STREAMribRwybYpMmSYoCsQUdr6MZNXEqHgm7p1gu9M,1,1,200,200,0.000001,16,6,24,0
STRK,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,d42766,0xCa14007Eff0dB1f8135f4C25B34De49AB0d42766,1,1,6,64,0.01,10,8,10,0
STRK,STARKNET,Starknet,0x003af06793a2dbe18f766dd503500fc436fcd249a95e99be68146a4c377a743e,,-1,7c938d,0x04718f5a0fc34cc1af16a1cdee98ffb20c31f5cd61d6ab07201858f4287c938d,1,1,1500,9000,0.01,0.1,8,0.1,0
STX,STX,STX,SP27ANV45PCAG98PGFA2GVN9K7QYY1KWWS1V6RFSX,10186018,-1,,,1,1,100,300,0.01,2,6,1,0
SUI,SUI,SUI,0x4b53485baf19637218b347aa476a39ac0510958d55f78c69c4be9e244add17df,,-1,,,1,1,1,1,0.001,0.02,8,0.02,0
SUN,TRX,TRON (TRC20),TLRPtPM7UYp8MszAiUh4sSRbuMVRdnkxN8,,-1,1NvU3S,TSSMHYeV2uE9qYH95DqyoCuNCzEL1NvU3S,1,1,20,20,0.1,15,8,15,0
SUNDOG,TRX,TRON (TRC20),TLRPtPM7UYp8MszAiUh4sSRbuMVRdnkxN8,,-1,qC8MRT,TXL6rJbvmjD46zeN1JssfgxvSo99qC8MRT,1,1,20,20,0.1,3,8,2,0
SUPRA,SUPRA,SUPRA,0x76bb20f88d2e7e2c5028d8e9b71ab2a7c44c4a6a8713ddd724aed4a3f8fc2969,,-1,,,1,1,10,10,0.1,1,8,1,0
SUSHI,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,c90fe2,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,1,1,6,64,0.01,10,8,10,0
SVL,MANTLE,Mantle Network,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,200000,0xabBeED1d173541e0546B38b1C0394975be200000,1,1,100,700,0.1,10,8,10,0
SWEAT,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,883a35,0xb4b9dc1c77bdbb135ea907fd5a08094d98883a35,1,1,6,64,0.1,800,8,800,0
SWEAT,NEAR,NEAR,313abf292dd127470b0bc897d511993c2bd3b590fdb5e7ae1f3e164a24f4e958,,-1,.sweat,token.sweat,1,0,5,5,0.1,50,8,50,0
SWELL,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,B35676,0x0a6E7Ba5042B38349e437ec6Db6214AEC7B35676,1,1,6,64,0.1,150,8,150,0
SXT,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,AbB195,0xE6Bfd33F52d82Ccb5b37E16D3dD81f9FFDAbB195,1,1,6,64,0.1,10,8,5,0
SYND,BASE,Base Mainnet,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,3722B9,0x11dC28D01984079b7efE7763b533e6ed9E3722B9,1,1,30,1800,0.01,10,8,5,0
SYND,ETH,Ethereum (ERC20) ,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,55614E,0x1bAB804803159aD84b8854581AA53AC72455614E,1,1,6,64,0.01,30,8,15,0
TA,BSC,BSC (BEP20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,11b140,0x539AE81A166E5E80aEd211731563e549c411b140,1,1,60,60,0.1,40,8,20,0
TA,LINEA,LINEA,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,11b140,0x539AE81A166E5E80aEd211731563e549c411b140,1,1,60,4800,0.1,40,8,20,0
TAC,TON,TON,UQBNyDB5zyARo7ozJsXgwCB6xaMxlxoYqZO67QeYcdv4CVTZ,,-1,8T7EBP,EQBE_gBrU3mPI9hHjlJoR_kYyrhQgyCFD6EUWfa42W8T7EBP,1,1,1,1,0.1,40,8,20,0
TAI,SOL,Solana,H9J4iqxRZZeDAzux33GdZqk3frX5tcGCZdGoU5tVLCzx,,-1,SP6gdD,Hax9LTgsQkze1YFychnBLtFH8gYbQKtKfWKKg2SP6gdD,1,1,200,200,0.1,1,8,18,0
TAIKO,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,54d800,0x10dea67478c5F8C5E2D90e5E9B26dBe60c54d800,1,0,6,64,0.01,2,8,2,0
TAIKO,TAIKO,Taiko Chain,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,1A0975,0xA9d23408b9bA935c230493c40C73824Df71A0975,1,1,1200,4000,0.01,0.1,8,0.1,0
TEL,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,27790f,0x467bccd9d29f223bce8043b84e8c8b282827790f,1,1,6,64,0.01,4808,2,240,0
THETA,THETA,THETA,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,,,1,1,12,12,0.01,0.24,8,0.12,0
TIA,CELESTIA,Celestia,celestia1wv38czvd2gtcgy4vmpx8a7jfpga5aka3lruzt3,,3000000,,,1,1,15,15,0.01,0.1,6,0.1,0
TIME,BSC,BSC (BEP20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,5D7f68,0x3b198e26E473b8faB2085b37978e36c9DE5D7f68,1,1,60,60,0.0001,0.01,8,0.01,0
TIME,TON,TON,UQBNyDB5zyARo7ozJsXgwCB6xaMxlxoYqZO67QeYcdv4CVTZ,,500000000,gT5LyL,EQDu9ijk44grAHe3Dy9qYOy-hic-vJr4d1CH3HNyN-gT5LyL,1,1,1,1,0.0001,0.1,8,0.05,0
TNSR,SOL,Solana,H9J4iqxRZZeDAzux33GdZqk3frX5tcGCZdGoU5tVLCzx,,-1,nEJAS6,TNSRxcUxoT9xBG3de7PiJyTDYu7kskLqcpddxnEJAS6,1,1,200,200,0.01,1,8,8.41859561,0
TOKEN,BSC,BSC (BEP20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,e2B528,0x4507cEf57C46789eF8d1a19EA45f4216bae2B528,1,1,60,60,0.1,20,8,20,0
TOKEN,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,e2B528,0x4507cEf57C46789eF8d1a19EA45f4216bae2B528,1,1,6,64,0.1,60,8,60,0
TON,TON,TON,UQBNyDB5zyARo7ozJsXgwCB6xaMxlxoYqZO67QeYcdv4CVTZ,,-1,,,1,1,1,1,0.005,0.02,8,0.02,0
TOSHI,BASE,BASE,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,31B2B4,0xAC1Bd2486aAf3B5C0fc3Fd868558b082a531B2B4,1,1,30,1800,0.1,4000,8,4000,0
TOWNS,BASE,Base Mainnet,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,189a38,0x00000000A22C618fd6b4D7E9A335C4B96B189a38,1,1,30,1800,0.1,60,8,30,0
TOWNS,ETH,Ethereum (ERC20) ,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,FB4d13,0x000000Fa00b200406de700041CFc6b19BbFB4d13,1,0,6,64,0.1,200,8,100,0
TREE,ETH,Ethereum (ERC20) ,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,96d1f3,0x77146784315Ba81904d654466968e3a7c196d1f3,1,1,6,64,0.01,12,8,6,0
TRUMP,SOL,SOL,H9J4iqxRZZeDAzux33GdZqk3frX5tcGCZdGoU5tVLCzx,,-1,jfGiPN,6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,1,1,200,200,0.000001,0.1,6,0.075,0
TRX,TRX,TRON (TRC20),TLRPtPM7UYp8MszAiUh4sSRbuMVRdnkxN8,,-1,,,1,1,20,20,1,1,6,1,0
TSLAX,SOL,SOL,H9J4iqxRZZeDAzux33GdZqk3frX5tcGCZdGoU5tVLCzx,,-1,sJHzoB,XsDoVfqeBukxuZHWhdvWHBhgEHjGNst4MLodqsJHzoB,1,1,200,200,0.00001,0.006,8,0.003,0
TUNA,SOL,SOL,H9J4iqxRZZeDAzux33GdZqk3frX5tcGCZdGoU5tVLCzx,,-1,oP4cyx,TUNAfXDZEdQizTMTh3uEvNvYqJmqFHZbEJt8joP4cyx,1,1,200,200,0.000001,40,6,10,0
TUSD,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,22b376,0x0000000000085d4780B73119b644AE5ecd22b376,1,1,6,64,0.001,1,8,1,0
TUSD,TRX,TRON (TRC20),TLRPtPM7UYp8MszAiUh4sSRbuMVRdnkxN8,,-1,GjC1F4,TUpMhErZL2fhh4sVNULAbNKLokS4GjC1F4,1,0,20,20,0.001,1,8,1,0
TWT,BSC,BSC (BEP20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,508003,0x4B0F1812e5Df2A09796481Ff14017e6005508003,1,1,60,60,0.001,0.07,8,0.07,0
U,ETH,Ethereum (ERC20) ,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,8Ba5ed,0xba5eD44733953d79717F6269357C77718C8Ba5ed,1,1,6,64,0.1,300,8,150,0
UMA,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,2ef828,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,1,1,6,64,0.001,2,8,2,0
UNI,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,01f984,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,1,1,6,64,0.0001,0.45,8,0.45,0
USAT,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,2A8b68,0x07041776f5007ACa2A54844F50503a18A72A8b68,1,0,6,64,0,,6,,
USD1,APTOS,APTOS,0x76bb20f88d2e7e2c5028d8e9b71ab2a7c44c4a6a8713ddd724aed4a3f8fc2969,,-1,5437d2,0x05fabd1b12e39967a3c24e91b7b8f67719a6dacee74f3c8b9fb7d93e855437d2,1,0,1,1,0.005,2,6,0,0
USD1,BSC,BSC (BEP20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,f08B0d,0x8d0D000Ee44948FC98c9B98A4FA4921476f08B0d,1,0,60,60,0.005,1,6,0.5,0
USD1,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,f08B0d,0x8d0D000Ee44948FC98c9B98A4FA4921476f08B0d,1,0,6,64,0.005,6,6,3,0
USD1,MANTLE,Mantle Network,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,1cdb61,0x111111d2bf19e43C34263401e0CAd979eD1cdb61,1,0,100,100,0,,6,,
USD1,SOL,SOL,H9J4iqxRZZeDAzux33GdZqk3frX5tcGCZdGoU5tVLCzx,,-1,zvEmuB,USD1ttGY1N17NEEHLmELoaybftRBUSErhqYiQzvEmuB,1,0,200,200,0.005,2,6,1,0
USD1,TRX,TRON (TRC20),TLRPtPM7UYp8MszAiUh4sSRbuMVRdnkxN8,,-1,oLR6Rc,TPFqcBAaaUMCSVRCqPaQ9QnzKhmuoLR6Rc,1,1,20,20,0.005,2,6,1,0
USDC,APTOS,APTOS,0x76bb20f88d2e7e2c5028d8e9b71ab2a7c44c4a6a8713ddd724aed4a3f8fc2969,,50000000000,b46f3b,0xbae207659db88bea0cbead6da0ed00aac12edcdda169e591cd41c94180b46f3b,1,1,1,1,0.005,1,6,0.05,0
USDC,CAVAX,AVAXC,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,c48a6E,0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E,1,1,30,120,0.005,1,6,1,0
USDC,ARBI,Arbitrum One,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,8e5831,0xaf88d065e77c8cC2239327C5EDb3A432268e5831,1,1,120,3360,0.005,1,6,1,0
USDC,BSC,BSC (BEP20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,cd580d,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,1,1,60,60,0.005,0.2,6,0.2,0
USDC,BASE,Base Mainnet,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,A02913,0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913,1,1,30,1800,0.005,0.5,6,0.5,0
USDC,CODEX,CODEX,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,100000,5037cf,0xd996633a415985DBd7D6D12f4A4343E31f5037cf,1,1,900,900,0.005,2,6,1,0
USDC,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,06eb48,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1,1,6,64,0.005,6,6,3,0
USDC,HBAR,HBAR,0.0.615422,10331878,-1,456858,0.0.456858,1,1,1,1,0.005,1,6,0.5,0
USDC,MONAD,MONAD,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,afb603,0x754704Bc059F8C67012fEd69BC8A327a5aafb603,1,1,3,10,0.005,2,6,1,0
USDC,MANTLE,Mantle Network,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,0D0dF9,0x09Bc4E0D864854c6aFB6eB9A9cdF58aC190D0dF9,1,1,100,700,0.005,0.3,6,0,0
USDC,OP,OP Mainnet,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,97Ff85,0x0b2C639c533813f4Aa9D7837CAf62653d097Ff85,1,1,30,1800,0.005,1,6,1,0
USDC,MATIC,Polygon PoS,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,5c3359,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,1,1,60,150,0.005,1,6,1,0
USDC,MATIC.E,Polygon(bridged),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,a84174,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,1,1,60,150,0.005,1,6,1,0
USDC,SEIEVM,SEIEVM,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,f42392,0xe15fC38F6D8c56aF07bbCBe3BAf5708A2Bf42392,1,1,10,10,0.005,1,6,0.5,0
USDC,SOL,SOL,H9J4iqxRZZeDAzux33GdZqk3frX5tcGCZdGoU5tVLCzx,,-1,yTDt1v,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,1,1,200,200,0.005,1,6,1,0
USDC,SUI,SUI,0x4b53485baf19637218b347aa476a39ac0510958d55f78c69c4be9e244add17df,,-1,::USDC,0xdba34672e30cb065b1f93e3ab55318768fd6fef66c15942c9f7cb846e2f900e7::usdc::USDC,1,1,1,1,0.005,6,6,1,0
USDC,SONIC,Sonic,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,038894,0x29219dd400f2Bf60E5a23d13Be72B486D4038894,1,1,1,12,0.005,1,6,0.05,0
USDC,XDC,XDC,xdc059ea204e19d28a9465419bda634678d20c89a79,,20000000,Ca8eb1,0xfA2958CB79b0491CC627c1557F441eF849Ca8eb1,1,1,32,32,0.005,2,6,0,0
USDD,TRX,TRON (TRC20),TLRPtPM7UYp8MszAiUh4sSRbuMVRdnkxN8,,-1,XWv9Hz,TXDk8mbtRbXeYuMNS83CfKPaYYT8XWv9Hz,1,1,20,20,0.001,2.6,8,2.6,0
USDE,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,1E68B3,0x4c9EDD5852cd905f086C759E8383e09bff1E68B3,1,1,6,64,0.005,7,6,3,0
USDE,MANTLE,Mantle Network,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,52ef34,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,1,1,100,700,0.005,1,6,0,0
USDE,TON,TON,UQBNyDB5zyARo7ozJsXgwCB6xaMxlxoYqZO67QeYcdv4CVTZ,,-1,2dzP5f,EQAIb6KmdfdDR7CN1GBqVJuP25iCnLKCvBlJ07Evuu2dzP5f,1,1,1,1,0.005,0.1,6,1,0
USDQ,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,50000000000,c1768b,0xc83e27f270cce0A3A3A29521173a83F402c1768b,1,1,6,64,0.005,2,6,1,0
USDR,ETH,Ethereum (ERC20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,500000000,63C8f8,0x7B43E3875440B44613DC3bC08E7763e6Da63C8f8,1,1,6,64,0.005,2,6,0.1,0
USDT,APTOS,APTOS,0x76bb20f88d2e7e2c5028d8e9b71ab2a7c44c4a6a8713ddd724aed4a3f8fc2969,,-1,c9dc2b,0x357b0b74bc833e95a115ad22604854d6b0fca151cecd94111770e5d6ffc9dc2b,1,1,1,1,0.005,0,4,0,0
USDT,CAVAX,AVAXC,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,F4A8c7,0x9702230A8Ea53601f5cD2dc00fDBc13d4dF4A8c7,1,1,30,120,0.005,10,4,1,0
USDT,ARBI,Arbitrum One,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,9fcbb9,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,1,1,120,3360,0.005,1,4,1,0
USDT,BERA,BERA (USDT0),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,713736,0x779Ded0c9e1022225f8E0630b35a9b54bE713736,1,1,12,12,0.005,2,4,0,0
USDT,BSC,BSC (BEP20),0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,197955,0x55d398326f99059ff775485246999027b3197955,1,1,60,60,0.005,10,4,1,0
USDT,CELO,CELO,0x8e1703b42c662cdf8460af3735351ab2a3711e67,,-1,483D5e,0x48065fbBE25f71C9282ddf5e1cD6D6A887483D5e,1,1,10,3600,0.005,1,4,0.5,0
