currency,chain,address,tag,selected
1INCH,1INCH-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
2Z,2Z-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
AAVE,AAVE-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ACE,ACE-Endurance Smart Chain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ACH,ACH-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ACT,ACT-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
ADA,ADA-Cardano,addr1vy8e6vhjus8s08auqwrad3d7rkdfk9lruvgq5hss6lla99gpkhjw3,,True
AERGO,AERGO-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
AEVO,AEVO-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
AGLD,AGLD-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
AIXBT,AIXBT-Base,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ALGO,ALGO-Algorand,BX7IR2Z5PTFCAFTUFDJ7SXRKO3NNLGFHHQ7SO7DBOCVE6DB5P5LTFMN2YU,,True
ANIME,ANIME-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ANIME,ANIME-Arbitrum One,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
APE,APE-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
API3,API3-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
APT,APT-Aptos_FA,0x95fcd8030d321ed10d65dfb9632e7d67fa7f635d5e8ebcb852a3a791b8954424,,True
APT,APT-Aptos_FA,0xfa6e989cd8dac739e68de80bd9364d3753dad4fc84d21e1e67ff72c0d35ec1be,,False
AR,AR-Arweave,hiDqR_IlfNUw-_45X-HYGRKFWLebyNHMcKjoOKkkJOs,,True
ARB,ARB-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ARB,ARB-Arbitrum One,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ARG,ARG-Chiliz 2.0 Chain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ARKM,ARKM-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ASP,ASP-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
ASTER,ASTER-BSC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ASTR,ASTR-Astar,WjqjKUu5kFaL2wkxH3XHvujdZ1vF2ywtpKKjGXctFHyu6XP,,True
ATH,ATH-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ATOM,ATOM-Cosmos,cosmos1ftars6fneyec89p9py5clm3zasu9k52996ucwp,,True
AUCTION,AUCTION-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
AVAX,AVAX-Avalanche X-Chain,X-avax1p2gy9cpzvdtfcnt67fqeaxlmu0m9l43thphzk4,,True
AVAX,AVAX-Avalanche C-Chain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
AVNT,AVNT-Base,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
AXS,AXS-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
BABY,BABY-Babylon,bbn1p5fy3gvxfdl8d9rjmysv9zyzzaa6sqyvl77l5y,,True
BABYDOGE,BABYDOGE-X Layer,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
BABYDOGE,BABYDOGE-BSC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
BABYDOGE,BABYDOGE-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
BANANA,BANANA-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
BAND,BAND-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
BARD,BARD-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
BAT,BAT-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
BCH,BCHK-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
BERA,BERA-Berachain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
BICO,BICO-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
BIGTIME,BIGTIME-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
BIO,BIO-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
BLUR,BLUR-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
BNB,BNB-BSC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
BNT,BNT-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
BOME,BOME-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
BONK,BONK-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
BREV,BREV-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
BTC,BTC-Bitcoin,3JESwS5EZRC5ojj3f3iWcQBnf2Cr49YC9i,,True
BTC,BTC-Aptos,0x95fcd8030d321ed10d65dfb9632e7d67fa7f635d5e8ebcb852a3a791b8954424,,True
BTC,BTC-Aptos,0xfa6e989cd8dac739e68de80bd9364d3753dad4fc84d21e1e67ff72c0d35ec1be,,False
BTC,BTC-SUI,0xdba2b84d75a273e474df17958c7e7ca452b91e5b4f88a8a4e6d2098dc03d4638,,True
BTC,BTC-SUI,0xbf3d6c5082575be423133109a7b1da5e6be0eff72bc261f056670f32357c7efa,,False
BTC,BTC-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
BTC,BTCK-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
BTC,BTC-X Layer,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
CAT,CAT-BSC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
CATI,CATI-TON,UQA_V1k8mnma7VN_6Zwa6PXpdfWCfk2v6keWyq5aB4tfGnJs,,True
CEEK,CEEK-BSC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
CELO,CELO-CELO,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
CELO,CELO-CELO-TOKEN,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
CELR,CELR-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
CETUS,CETUS-SUI,0xdba2b84d75a273e474df17958c7e7ca452b91e5b4f88a8a4e6d2098dc03d4638,,True
CETUS,CETUS-SUI,0xbf3d6c5082575be423133109a7b1da5e6be0eff72bc261f056670f32357c7efa,,False
CFG,CFG-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
CFX,CFX-Conflux,cfx:aar4m7sa47pukktczfw40rcmst88nr70kyewpymj7e,,True
CFX,CFX-CFX_EVM,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
CHZ,CHZ-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
CHZ,CHZ-Chiliz Chain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
CITY,CITY-Chiliz 2.0 Chain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
COMP,COMP-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
CORE,CORE-CORE,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
CRO,CRO-Crypto,cro1j5nqew7fy5yx8y5r5zwhcnh7lfypjfrqylmr85,,True
CRV,CRV-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
CRV,CRV-Polygon,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
CSPR,CSPR-Casper,011151e41a6cf86061a28dd5d8add649ed9cd9cf80fc5d58c34c58ef97807ffe59,,True
CTC,CTC-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
CVC,CVC-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
CVX,CVX-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
DAI,DAI-X Layer,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
DAI,DAI-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
DAI,DAI-Polygon,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
DAI,DAIK-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
DASH,DASH-Digital Cash,7q9qfodevwLNcaTqRefGsgPfbguihST75n,,True
DEGEN,DEGEN-Base,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
DGB,DGB-Digibyte,SfZBtee9ZSmWxTK3p92W8KF6Nnvvj2JhRx,,True
DOGE,DOGE-Dogecoin,9uESXvW2RfnPkvCTziKyR2Rz81Sq4CRxuG,,True
DOGS,DOGS-TON,UQA_V1k8mnma7VN_6Zwa6PXpdfWCfk2v6keWyq5aB4tfGnJs,,True
DOOD,DOOD-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
DORA,DORA-Dora Vota Mainnet,dora1g27m3hz4jhn0snuu0jntxrd2tpnq80h3vu7cpt,,True
DOT,DOTK-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
DUCK,DUCK-TON,UQA_V1k8mnma7VN_6Zwa6PXpdfWCfk2v6keWyq5aB4tfGnJs,,True
DYDX,DYDX-DYDX,dydx1wqfxh870j2mqacpax3t58f09gh6guxggcnznkn,,True
EGLD,EGLD-Elrond,erd16wrz4f7jjjc9m7mac7dqvw9t5e40jgsv7995v2yx53al2qptww6saj94cp,,True
EIGEN,EIGEN-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ELF,ELF-AELF,2K1u1K23vDaavAA72sgCXcLkfjdxqzhBRsDSqjqnsvRkrdf2TX,,True
ENA,ENA-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ENJ,ENJ-Enjin Relay Chain,enBzr2jcc3qpKS9GaaDXpQaCyKaZwaYsG3vVnWj2b7DWjub51,,True
ENS,ENS-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ETC,ETC-Ethereum Classic,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ETC,ETCK-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ETH,ETH-X Layer,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ETH,ETH-X Layer,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ETH,ETH-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ETH,ETH-Arbitrum One,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ETH,ETH-Base,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ETH,ETH-Linea,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ETH,ETH-Optimism,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ETH,ETH-Starknet,0x006bb2dab54472f4900b84a593cfcd54aa20d65076b5bbcf0fdad96770cfcf65,,True
ETH,ETH-Unichain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ETH,ETH-zkSync Era,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ETH,ETHK-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ETHFI,ETHFI-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ETHW,ETHW-EthereumPoW,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
EURC,EURC-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
FET,FET-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
FIL,FIL-FEVM,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
FIL,FILK-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
FLOKI,FLOKI-BSC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
FLOW,FLOW-FLOW,0x6b00a0aa2863f5af,,True
FLR,FLR-Flare,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
FLUID,FLUID-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
FOGO,FOGO-Fogo,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
G,G-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
G,G-Gravity Alpha Mainnet,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
GALA,GALA-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
GALFT,GALFT-Chiliz 2.0 Chain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
GAS,GAS-N3,NV8meQLYPBAKufBXZu7ZZbENoHW7wq3euV,,True
GHST,GHST-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
GLM,GLM-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
GMT,GMT-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
GMT,GMT-Polygon,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
GMX,GMX-Arbitrum One,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
GOAT,GOAT-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
GODS,GODS-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
GRT,GRT-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
HBAR,HBAR-Hedera,0.0.8172693,,True
HMSTR,HMSTR-TON,UQA_V1k8mnma7VN_6Zwa6PXpdfWCfk2v6keWyq5aB4tfGnJs,,True
HUMA,HUMA-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
HYPE,HYPE-HyperEVM,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ICP,ICP-Dfinity,03b376471ce9e7588c55f22c0a60e317d84ae6c23a49dd4090b3893bfd49891f,,True
ICX,ICX-ICON,hxc093b00934adec09bf8b115cd7e4301c3fa63ac7,,True
ID,ID-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ILV,ILV-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
IMX,IMX-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
INJ,INJ-INJ,inj1xwyf6tr3mxh2t7gjr4vlqkpk9htcxq3qfn2spn,,True
IOST,IOST-IOST,iost_ok115,6034275,True
IOTA,IOTA-IOTA Stardust,0xb10fed97d289744c5c48e6e3e921301dfd37c03cb5b66bc45ba2d6a4bd51171c,,True
IP,IP-Story,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
J,J-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
JITOSOL,JITOSOL-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
JOE,JOE-Avalanche C-Chain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
JTO,JTO-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
JUP,JUP-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
KAIA,KAIA-Klaytn,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
KAITO,KAITO-Base,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
KITE,KITE-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
KMNO,KMNO-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
KNC,KNC-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LAT,LAT-PlatON,lat199yf47appq4u64qrc87l79fvmzmfay5g647e4p,,True
LAYER,LAYER-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
LBR,LBR-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LDO,LDO-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LEO,LEO-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LINEA,LINEA-Linea,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LINK,LINK-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LINK,LINKK-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LIT,LIT-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LPT,LPT-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LQTY,LQTY-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LRC,LRC-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LSK,LSK-Lisk,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
LTC,LTC-Litecoin,M9zSRnyPRaw24tBNESGmRChSfFsjC2FARE,,True
LTC,LTCK-OKTC,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
MAGIC,MAGIC-Arbitrum One,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
MAJOR,MAJOR-TON,UQA_V1k8mnma7VN_6Zwa6PXpdfWCfk2v6keWyq5aB4tfGnJs,,True
MANA,MANA-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
MASK,MASK-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
MAX,MAX-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
ME,ME-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
MEME,MEME-ERC20,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
MEMEFI,MEMEFI-SUI,0xdba2b84d75a273e474df17958c7e7ca452b91e5b4f88a8a4e6d2098dc03d4638,,True
MEMEFI,MEMEFI-SUI,0xbf3d6c5082575be423133109a7b1da5e6be0eff72bc261f056670f32357c7efa,,False
MENGO,MENGO-Chiliz 2.0 Chain,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
MERL,MERL-MERLIN Network,0x6e638e6a9abaca09ab71aa8132e5b82e61c0b52b,,True
MET,MET-Solana,Bp4TFGZ5QJHffYdBZaP8DVdTqy1vVFjfhGbAdDLicUcV,,True
